,tool,warning_type,warning_msg,commit_sha,repo,filename,positions,filepath,commit_date,label
0,PMD,Design:MutableStaticState,Do not use non-final non-private static fields,9c60a3113feb1c0baaafbb3e3da3efdf7c03c008,https://github.com/RustyPincer/TestRepo,Main.java,"{'start_line': 4, 'start_col': 20, 'end_line': 4, 'end_col': 36}",dataset/9c60a3113feb1c0baaafbb3e3da3efdf7c03c008/src/main/java/my_app/Main.java,2022-08-22T14:02:12Z,1
1,PMD,Performance:RedundantFieldInitializer,Avoid using redundant field initializer for 'MEDIAN_AGE',9e7aff6b84c90109aacb940b33ee99b085f4be63,https://github.com/RustyPincer/TestRepo,Main.java,"{'start_line': 4, 'start_col': 20, 'end_line': 4, 'end_col': 30}",dataset/9e7aff6b84c90109aacb940b33ee99b085f4be63/src/main/java/my_app/Main.java,2022-08-24T13:36:50Z,1
2,PMD,Design:MutableStaticState,Do not use non-final non-private static fields,9e7aff6b84c90109aacb940b33ee99b085f4be63,https://github.com/RustyPincer/TestRepo,Main.java,"{'start_line': 4, 'start_col': 20, 'end_line': 4, 'end_col': 30}",dataset/9e7aff6b84c90109aacb940b33ee99b085f4be63/src/main/java/my_app/Main.java,2022-08-24T13:36:50Z,1
3,PMD,Performance:RedundantFieldInitializer,Avoid using redundant field initializer for 'POPULATION',7ad2954ad5eabb8adf853b9c6be00f208bcc115e,https://github.com/RustyPincer/TestRepo,Main.java,"{'start_line': 7, 'start_col': 20, 'end_line': 7, 'end_col': 30}",dataset/7ad2954ad5eabb8adf853b9c6be00f208bcc115e/src/main/java/my_app/Main.java,2022-08-24T13:54:34Z,1
4,PMD,Design:MutableStaticState,Do not use non-final non-private static fields,7ad2954ad5eabb8adf853b9c6be00f208bcc115e,https://github.com/RustyPincer/TestRepo,Main.java,"{'start_line': 7, 'start_col': 20, 'end_line': 7, 'end_col': 30}",dataset/7ad2954ad5eabb8adf853b9c6be00f208bcc115e/src/main/java/my_app/Main.java,2022-08-24T13:54:34Z,1
5,PMD,Design:MutableStaticState,Do not use non-final non-private static fields,bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': 4, 'start_col': 20, 'end_line': 4, 'end_col': 33}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,1
6,PMD,Code Style:CommentDefaultAccessModifier,Missing commented default access modifier on field 'year',f432d12635ce068ac189c4527d7b6a39f08aa6f2,https://github.com/RustyPincer/TestRepo,Worker.java,"{'start_line': 25, 'start_col': 6, 'end_line': 25, 'end_col': 10}",dataset/f432d12635ce068ac189c4527d7b6a39f08aa6f2/src/main/java/my_app/Worker.java,2022-08-25T09:23:51Z,1
7,PMD,Design:MutableStaticState,Do not use non-final non-private static fields,368b17da4c080b6f652673d0f10e16c63f1f2cb4,https://github.com/RustyPincer/TestRepo,Worker.java,"{'start_line': 5, 'start_col': 20, 'end_line': 5, 'end_col': 33}",dataset/368b17da4c080b6f652673d0f10e16c63f1f2cb4/src/main/java/my_app/Worker.java,2022-08-25T12:08:40Z,1
8,PMD,Design:MutableStaticState,Do not use non-final non-private static fields,05ef822386b0818e868f1308522534cc377b3811,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': 4, 'start_col': 20, 'end_line': 4, 'end_col': 33}",dataset/05ef822386b0818e868f1308522534cc377b3811/src/main/java/my_app/Employee.java,2022-08-25T12:12:49Z,1
9,PMD,Design:MutableStaticState,Do not use non-final non-private static fields,c369751e0fc903b167bc8145ac5ba942d7fce9e1,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': 4, 'start_col': 20, 'end_line': 4, 'end_col': 33}",dataset/c369751e0fc903b167bc8145ac5ba942d7fce9e1/src/main/java/my_app/Employee.java,2022-08-29T07:38:46Z,1
